rep,start_frame,peak_frame,end_frame,duration_frames,supporting_angles,confidence,motion_amplitude,guide_peak_value,start_boundary_aligned,original_start_frame,canonical_rest_distance,canonical_rest_run_frames,canonical_rest_stable,doctor_validation,doctor_validation_angles,doctor_supporting_angles,doctor_motion_amplitudes,recovered_from_oversized
1,266,331,419,154,5,0.8904094233661697,0.8727933159824702,0.8727933159824702,True,240.0,0.45328437622668455,9.0,True,confirmed,"left_shoulder,right_shoulder,left_elbow,right_elbow","left_shoulder,right_shoulder,left_elbow,right_elbow","{""left_shoulder"":72.3,""right_shoulder"":71.172,""left_elbow"":38.274,""right_elbow"":41.543}",
2,419,534,585,167,6,0.9220881381920406,0.8593414130210877,0.8593414130210877,,,,,,confirmed,"left_shoulder,right_shoulder,left_elbow,right_elbow","left_shoulder,right_shoulder,left_elbow,right_elbow","{""left_shoulder"":78.341,""right_shoulder"":74.557,""left_elbow"":51.689,""right_elbow"":52.466}",
3,585,742,794,210,6,0.9402150584506961,0.9197644805499392,0.9197644805499392,,,,,,confirmed,"left_shoulder,right_shoulder,left_elbow,right_elbow","left_shoulder,right_shoulder,left_elbow,right_elbow","{""left_shoulder"":91.038,""right_shoulder"":90.955,""left_elbow"":54.487,""right_elbow"":53.754}",
4,794,897,963,170,7,0.9753328564858785,0.9177761882862616,0.9177761882862616,,,,,,confirmed,"left_shoulder,right_shoulder,left_elbow,right_elbow","left_shoulder,right_shoulder,left_elbow,right_elbow","{""left_shoulder"":88.548,""right_shoulder"":85.171,""left_elbow"":54.022,""right_elbow"":53.714}",
5,963,1074,1130,168,7,0.9637872092867149,0.879290697622383,0.879290697622383,,,,,,confirmed,"left_shoulder,right_shoulder,left_elbow,right_elbow","left_shoulder,right_shoulder,left_elbow,right_elbow","{""left_shoulder"":86.753,""right_shoulder"":87.243,""left_elbow"":55.262,""right_elbow"":55.402}",
6,1686,1695,1799,114,7,1.0,,,,,,,,confirmed,"left_shoulder,right_shoulder,left_elbow,right_elbow","left_shoulder,right_shoulder,left_elbow,right_elbow","{""left_shoulder"":96.426,""right_shoulder"":101.964,""left_elbow"":43.069,""right_elbow"":41.889}",True
7,1799,1952,2001,203,7,1.0,,,,,,,,confirmed,"left_shoulder,right_shoulder,left_elbow,right_elbow","left_shoulder,right_shoulder,left_elbow,right_elbow","{""left_shoulder"":90.3,""right_shoulder"":87.086,""left_elbow"":45.826,""right_elbow"":45.927}",True
8,2001,2069,2152,152,6,0.9642857142857143,0.8332978858525649,1.070941775408759,,,,,,confirmed,"left_shoulder,right_shoulder,left_elbow,right_elbow","left_shoulder,right_shoulder,left_elbow,right_elbow","{""left_shoulder"":88.309,""right_shoulder"":89.943,""left_elbow"":48.77,""right_elbow"":51.985}",
9,2152,2218,2286,135,6,0.9642857142857143,1.0731728214477525,1.0793329381847245,,,,,,confirmed,"left_shoulder,right_shoulder,left_elbow,right_elbow","left_shoulder,right_shoulder,left_elbow,right_elbow","{""left_shoulder"":92.501,""right_shoulder"":92.131,""left_elbow"":52.127,""right_elbow"":54.018}",
10,2286,2362,2419,134,7,1.0,1.075886564973031,1.075886564973031,,,,,,confirmed,"left_shoulder,right_shoulder,left_elbow,right_elbow","left_shoulder,right_shoulder,left_elbow,right_elbow","{""left_shoulder"":100.462,""right_shoulder"":98.93,""left_elbow"":53.604,""right_elbow"":53.887}",
