rep,start_frame,peak_frame,end_frame,duration_frames,supporting_angles,confidence,motion_amplitude,guide_peak_value,training_selection_score,selection_reason,review_status,doctor_note,recovered_from_oversized
1,155,342,399,245,5,0.9028544654670356,0.9142767896520236,0.9142767896520236,0.9028544654670356,all_valid_reps_kept,accepted,,
2,399,556,612,214,5,0.8974262125669203,0.8961826133183061,0.8961826133183061,0.8974262125669203,all_valid_reps_kept,accepted,,
3,612,757,804,193,5,0.8878458671045445,0.8642481284437197,0.8642481284437197,0.8878458671045445,all_valid_reps_kept,accepted,,
4,804,928,1009,206,4,0.847309684392167,0.8481751384500806,0.8481751384500806,0.847309684392167,all_valid_reps_kept,accepted,,
5,1009,1101,1188,180,4,0.8456530191274774,0.8426529209011149,0.8426529209011149,0.8456530191274774,all_valid_reps_kept,accepted,,
6,1846,1859,2018,173,4,0.8527991927763261,,,0.8527991927763261,all_valid_reps_kept,accepted,,True
7,2018,2216,2302,285,4,0.8527991927763261,,,0.8527991927763261,all_valid_reps_kept,accepted,,True
8,2302,2380,2463,162,4,0.8527991927763261,,,0.8527991927763261,all_valid_reps_kept,rejected,,True
9,2463,2556,2589,127,4,0.832918976760403,0.8002061130108677,0.8002061130108677,0.832918976760403,all_valid_reps_kept,rejected,,
10,2732,2832,2881,150,5,0.9285714285714286,,,0.9285714285714286,all_valid_reps_kept,accepted,,True
11,2881,3019,3073,193,5,0.9285714285714286,,,0.9285714285714286,all_valid_reps_kept,accepted,,True
12,3634,3721,3783,150,4,0.8476037351495405,,,0.8476037351495405,all_valid_reps_kept,accepted,,True
13,3783,3839,3950,168,4,0.8476037351495405,,,0.8476037351495405,all_valid_reps_kept,accepted,,True
14,4086,4126,4263,178,4,0.8476037351495405,,,0.8476037351495405,all_valid_reps_kept,accepted,,True
15,4263,4347,4374,112,4,0.8476037351495405,,,0.8476037351495405,all_valid_reps_kept,rejected,,True
16,4374,4495,4968,595,2,0.8214285714285714,0.7305407791227874,1.0322733646800006,0.8214285714285714,all_valid_reps_kept,accepted,,
17,5145,5171,5226,82,3,0.7518095044791142,0.4591097966603104,0.6488888244541904,0.7518095044791142,all_valid_reps_kept,rejected,,
