rep,start_frame,peak_frame,end_frame,duration_frames,supporting_angles,confidence,motion_amplitude,guide_peak_value,recovered_from_oversized
1,60,84,134,75,2,0.7322674426027923,0.6858937690915293,0.702796237247403,
2,134,165,189,56,1,0.7857142857142857,1.4175921541540162,1.4175921541540162,
3,189,268,304,116,2,0.7785047705912091,0.8569206638754592,0.8569206638754592,
4,304,363,410,107,2,0.8214285714285714,1.0380384361871284,1.0380384361871284,
5,410,466,501,92,2,0.8214285714285714,1.5,1.5,
6,501,554,571,71,1,0.7386763254254992,0.8432067990373782,0.8432067990373782,
7,571,686,713,143,1,0.7857142857142857,1.5,1.5,
8,885,908,959,75,2,0.8,,,True
9,959,1012,1079,121,2,0.8,,,True
10,1085,1108,1180,96,2,0.4953606133925902,0.311214908646846,0.37572377772390936,
11,1180,1261,1296,117,2,0.8214285714285714,1.3106427063210242,1.3106427063210242,
12,1296,1340,1372,77,1,0.7857142857142857,1.5,1.5,
13,1372,1423,1455,84,2,0.8214285714285714,1.5,1.5,
14,1455,1499,1527,73,2,0.8214285714285714,1.5,1.5,
15,1527,1583,1610,84,2,0.8214285714285714,1.5,1.5,
16,1632,1720,1739,108,1,0.5535551862454862,0.36069822284919023,0.5238089256067008,
17,1816,1857,1902,87,0,0.8,,,True
18,1902,1954,2005,104,0,0.8,,,True
19,2061,2072,2137,77,0,0.8,,,True
20,2636,2720,2767,132,4,0.8747110724686902,0.9384255450873167,0.9395130987051578,
21,2767,2876,2920,154,4,0.4568602394198553,0.1822947001236771,0.4390279881301179,
22,2959,3065,3092,134,4,0.8928571428571428,0.8574530164700042,1.127455632755704,
23,3092,3150,3195,104,5,0.9285714285714286,0.9713732673277902,1.2160109695717227,
24,3195,3234,3265,71,4,0.8928571428571428,1.1724957675281218,1.4171334697720543,
25,3276,3321,3345,70,3,0.8571428571428571,1.2174475562147866,1.481924362210389,
