rep,start_frame,peak_frame,end_frame,duration_frames,supporting_angles,confidence,motion_amplitude,guide_peak_value,training_selection_score,selection_reason,recovered_from_oversized
1,134,165,189,56,1,0.7857142857142857,1.4175921541540162,1.4175921541540162,0.7857142857142857,quality_plus_duration_amplitude_diversity,
2,189,268,304,116,2,0.7785047705912091,0.8569206638754592,0.8569206638754592,0.7785047705912091,quality_plus_duration_amplitude_diversity,
3,304,363,410,107,2,0.8214285714285714,1.0380384361871284,1.0380384361871284,0.8214285714285714,quality_plus_duration_amplitude_diversity,
4,410,466,501,92,2,0.8214285714285714,1.5,1.5,0.8214285714285714,quality_plus_duration_amplitude_diversity,
5,571,686,713,143,1,0.7857142857142857,1.5,1.5,0.7857142857142857,quality_plus_duration_amplitude_diversity,
6,885,908,959,75,2,0.8,,,0.8,quality_plus_duration_amplitude_diversity,True
7,959,1012,1079,121,2,0.8,,,0.8,quality_plus_duration_amplitude_diversity,True
8,1180,1261,1296,117,2,0.8214285714285714,1.3106427063210242,1.3106427063210242,0.8214285714285714,quality_plus_duration_amplitude_diversity,
9,1296,1340,1372,77,1,0.7857142857142857,1.5,1.5,0.7857142857142857,quality_plus_duration_amplitude_diversity,
10,1372,1423,1455,84,2,0.8214285714285714,1.5,1.5,0.8214285714285714,quality_plus_duration_amplitude_diversity,
11,1455,1499,1527,73,2,0.8214285714285714,1.5,1.5,0.8214285714285714,quality_plus_duration_amplitude_diversity,
12,1527,1583,1610,84,2,0.8214285714285714,1.5,1.5,0.8214285714285714,quality_plus_duration_amplitude_diversity,
13,1816,1857,1902,87,0,0.8,,,0.8,quality_plus_duration_amplitude_diversity,True
14,1902,1954,2005,104,0,0.8,,,0.8,quality_plus_duration_amplitude_diversity,True
15,2061,2072,2137,77,0,0.8,,,0.8,quality_plus_duration_amplitude_diversity,True
16,2636,2720,2767,132,4,0.8747110724686902,0.9384255450873167,0.9395130987051578,0.8747110724686902,quality_plus_duration_amplitude_diversity,
17,2959,3065,3092,134,4,0.8928571428571428,0.8574530164700042,1.127455632755704,0.8928571428571428,quality_plus_duration_amplitude_diversity,
18,3092,3150,3195,104,5,0.9285714285714286,0.9713732673277902,1.2160109695717227,0.9285714285714286,quality_plus_duration_amplitude_diversity,
19,3195,3234,3265,71,4,0.8928571428571428,1.1724957675281218,1.4171334697720543,0.8928571428571428,quality_plus_duration_amplitude_diversity,
20,3276,3321,3345,70,3,0.8571428571428571,1.2174475562147866,1.481924362210389,0.8571428571428571,quality_plus_duration_amplitude_diversity,
