frame,time_seconds,left_elbow,right_elbow,left_shoulder,right_shoulder,left_hip,right_hip,left_knee,right_knee
0,0.0,104.45036097067029,131.76465211909164,61.40662705777472,81.70632381963358,153.53646591632017,152.71242350910313,144.40102723221085,147.51837451120005
1,0.03333333333333333,107.07462426411317,127.33953647545285,62.70609702122876,80.24058771790563,157.6623073855181,157.21322092450689,145.39497485616866,149.71737122758154
2,0.06666666666666667,108.2014128662668,124.81076974059746,63.85054413725598,80.52003828175195,160.80717124006233,161.66939544105398,144.63512743160453,150.08487676654588
3,0.1,107.01903385785988,126.45698973886758,63.702436005560855,80.36860536440444,160.69831138392766,161.67897804609007,145.82630699540567,151.4524820770675
4,0.13333333333333333,110.69726313039028,126.24110615036551,65.71397058596123,79.86990339292305,160.02847650407915,161.43813925219098,145.85724791676148,151.50192532220328
5,0.16666666666666666,110.75518253838814,125.31421917303022,65.58161848135677,79.89862506396393,160.7110772650745,161.74277205196753,146.08510010363423,150.89207163973091
6,0.2,109.32137161280912,125.35116817024443,65.3306603208008,79.64688470140155,160.55815070818008,160.84614271599392,145.52348332269975,150.6769466547132
7,0.23333333333333334,107.44991473383685,125.70454335198627,64.56864816212386,79.98771111133432,161.7062548384703,161.25037704566836,145.4931432115748,150.42939000135237
8,0.26666666666666666,108.38821820433425,125.19655673900436,65.00890209601884,79.90608600467847,161.06278211414232,161.35067938576,145.6259218966116,150.62149693168655
9,0.3,106.8192663162882,126.1115381282555,63.9620439602868,80.29409014592218,160.70149761813215,161.56385140100156,145.55273919088438,150.822898978573
10,0.3333333333333333,106.37414801195392,126.16936932647033,63.536721303114774,80.20485163812727,160.4979232598759,161.30507682486854,145.48338999086906,150.8094169776783
11,0.36666666666666664,106.40196304542577,126.74194423148393,63.15366193921931,80.31243623756221,161.27629373867939,161.49158198673567,145.36366638418951,150.75697704945907
12,0.4,106.31673286624641,126.5933473349765,62.44293334453822,79.7909012049933,161.11996553724245,161.5947880264975,145.28056142088218,150.5653989937075
13,0.43333333333333335,106.00547836399097,127.94182963152397,61.719896714031016,80.05587837054459,161.56834164535294,161.2342372136665,145.66587954131919,150.60580051570372
14,0.4666666666666667,108.3205871879473,129.13005272042278,62.2131940221178,79.76439650877496,161.96378651297724,161.76978988496245,146.45055356291203,151.11954771931474
15,0.5,107.29087958118208,128.51168703262726,61.23178026468426,78.38804430141182,162.03764223557778,161.19773224078995,146.66392563842496,151.07065929042795
16,0.5333333333333333,107.90894198467002,125.69890114446893,61.35140625802246,75.66418578327058,160.73346321714874,160.8411321740834,146.63711503827247,151.36725973794833
17,0.5666666666666667,107.8901971301083,125.47059169486789,61.38022309161577,74.4581061443388,160.66544058178434,160.43599414044084,146.21782022800974,151.3688883757085
18,0.6,107.34768179583938,123.21948329680586,60.90934461834483,72.48082269538062,160.17947096259633,160.5572789790348,145.76079726726502,151.61190113442737
19,0.6333333333333333,103.25684433861994,122.48736755652237,58.96957501086435,70.85562012751633,161.2711998670003,160.54179266608304,145.36880380415806,152.07867449514836
20,0.6666666666666666,104.21893127155806,122.1671147422463,59.269450135822154,70.27914688263937,161.26662072361393,160.709301723895,145.27159397901298,152.1041041175581
21,0.7,104.47953412817633,123.82508050093107,59.76602359178934,70.29557359009436,160.3967652036126,160.0140669658975,145.22123754562637,152.9110412077608
22,0.7333333333333333,106.56188902432184,123.67075843883472,62.40808630590384,70.42511140979722,159.97569533857202,160.2923713039419,145.34503264814256,152.86060298632427
