rep,start_frame,peak_frame,end_frame,duration_frames,supporting_angles,confidence,motion_amplitude,guide_peak_value,start_boundary_aligned,original_start_frame,canonical_rest_distance,canonical_rest_run_frames,canonical_rest_stable,training_selection_score,selection_reason,review_status,doctor_note,recovered_from_oversized
1,489,626,718,230,4,0.8313921057719189,0.772670768858051,0.7951165430492537,True,453.0,0.6638925545426103,16.0,True,0.8313921057719189,all_valid_reps_kept,accepted,,
2,718,851,938,221,3,0.8432812937523259,0.9444888865314018,0.9537947886982294,,,,,,0.8432812937523259,all_valid_reps_kept,rejected,,
3,938,1114,1267,330,3,0.8543934453828499,0.9908352941333092,0.9908352941333092,,,,,,0.8543934453828499,all_valid_reps_kept,accepted,,
4,1402,1601,1717,316,4,0.8638001117653662,,,,,,,,0.8638001117653662,all_valid_reps_kept,accepted,,True
5,1717,1867,1955,239,4,0.8638001117653662,,,,,,,,0.8638001117653662,all_valid_reps_kept,accepted,,True
6,1955,2160,2244,290,4,0.8928571428571428,1.00209672092317,1.00209672092317,,,,,,0.8928571428571428,all_valid_reps_kept,rejected,,
7,2366,2789,2849,484,3,0.8340476605493103,0.9126758932650612,0.9230160113548442,,,,,,0.8340476605493103,all_valid_reps_kept,accepted,,
8,2849,2955,3006,158,4,0.8597461150739987,0.8896299073895196,0.8896299073895196,,,,,,0.8597461150739987,all_valid_reps_kept,accepted,,
9,3006,3134,3173,168,4,0.8875833146631371,0.982420572686648,0.982420572686648,,,,,,0.8875833146631371,all_valid_reps_kept,accepted,,
10,3173,3292,3327,155,2,0.8082387531641568,0.9560339391186184,0.9560339391186184,,,,,,0.8082387531641568,all_valid_reps_kept,accepted,,
11,3803,3954,4113,311,3,0.8571428571428571,,,,,,,,0.8571428571428571,all_valid_reps_kept,accepted,,True
12,4113,4189,4292,180,3,0.8571428571428571,,,,,,,,0.8571428571428571,all_valid_reps_kept,accepted,,True
13,4292,4391,4476,185,5,0.9285714285714286,1.020340000133041,1.027633255396127,,,,,,0.9285714285714286,all_valid_reps_kept,rejected,,
14,4476,4560,4672,197,5,0.9285714285714286,1.0288044615079,1.0336788428362116,,,,,,0.9285714285714286,all_valid_reps_kept,accepted,,
15,4672,4764,4893,222,5,0.9285714285714286,1.0196163981054092,1.0244907794337208,,,,,,0.9285714285714286,all_valid_reps_kept,accepted,,
16,4893,5005,5067,175,5,0.9285714285714286,1.0366182431485764,1.0366182431485764,,,,,,0.9285714285714286,all_valid_reps_kept,accepted,,
17,5067,5208,5252,186,5,0.9285714285714286,1.0780996399729337,1.0780996399729337,,,,,,0.9285714285714286,all_valid_reps_kept,accepted,,
18,5252,5356,5392,141,4,0.8928571428571428,1.0670221901859138,1.0670221901859138,,,,,,0.8928571428571428,all_valid_reps_kept,accepted,,
19,5392,5505,5547,156,5,0.9285714285714286,1.059855375406953,1.059855375406953,,,,,,0.9285714285714286,all_valid_reps_kept,accepted,,
20,5547,5680,5710,164,5,0.9285714285714286,1.0255188449053951,1.0371321903938933,,,,,,0.9285714285714286,all_valid_reps_kept,rejected,,
