exercise_label,source_video,source_video_id,subject_id,rep,rep_uid,split_group,shift,start_frame,end_frame,sampled_frames,segmentation_confidence,review_status
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_francesopio\PM_110-Camera17-30fps.mp4,PM_110-Camera17-30fps,PM_110,1,PM_110-Camera17-30fps__rep_001,PM_110-Camera17-30fps__rep_001,-5,484,713,"484,517,549,582,615,648,680,713",0.8313921057719189,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_francesopio\PM_110-Camera17-30fps.mp4,PM_110-Camera17-30fps,PM_110,1,PM_110-Camera17-30fps__rep_001,PM_110-Camera17-30fps__rep_001,-4,485,714,"485,518,550,583,616,649,681,714",0.8313921057719189,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_francesopio\PM_110-Camera17-30fps.mp4,PM_110-Camera17-30fps,PM_110,1,PM_110-Camera17-30fps__rep_001,PM_110-Camera17-30fps__rep_001,-3,486,715,"486,519,551,584,617,650,682,715",0.8313921057719189,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_francesopio\PM_110-Camera17-30fps.mp4,PM_110-Camera17-30fps,PM_110,1,PM_110-Camera17-30fps__rep_001,PM_110-Camera17-30fps__rep_001,-2,487,716,"487,520,552,585,618,651,683,716",0.8313921057719189,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_francesopio\PM_110-Camera17-30fps.mp4,PM_110-Camera17-30fps,PM_110,1,PM_110-Camera17-30fps__rep_001,PM_110-Camera17-30fps__rep_001,-1,488,717,"488,521,553,586,619,652,684,717",0.8313921057719189,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_francesopio\PM_110-Camera17-30fps.mp4,PM_110-Camera17-30fps,PM_110,1,PM_110-Camera17-30fps__rep_001,PM_110-Camera17-30fps__rep_001,0,489,718,"489,522,554,587,620,653,685,718",0.8313921057719189,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_francesopio\PM_110-Camera17-30fps.mp4,PM_110-Camera17-30fps,PM_110,1,PM_110-Camera17-30fps__rep_001,PM_110-Camera17-30fps__rep_001,1,490,719,"490,523,555,588,621,654,686,719",0.8313921057719189,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_francesopio\PM_110-Camera17-30fps.mp4,PM_110-Camera17-30fps,PM_110,1,PM_110-Camera17-30fps__rep_001,PM_110-Camera17-30fps__rep_001,2,491,720,"491,524,556,589,622,655,687,720",0.8313921057719189,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_francesopio\PM_110-Camera17-30fps.mp4,PM_110-Camera17-30fps,PM_110,1,PM_110-Camera17-30fps__rep_001,PM_110-Camera17-30fps__rep_001,3,492,721,"492,525,557,590,623,656,688,721",0.8313921057719189,accepted
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_francesopio\PM_110-Camera17-30fps.mp4,PM_110-Camera17-30fps,PM_110,1,PM_110-Camera17-30fps__rep_001,PM_110-Camera17-30fps__rep_001,4,493,722,"493,526,558,591,624,657,689,722",0.8313921057719189,accepted
