rep,start_frame,peak_frame,end_frame,duration_frames,supporting_angles,confidence,motion_amplitude,guide_peak_value,start_boundary_aligned,original_start_frame,canonical_rest_distance,canonical_rest_run_frames,canonical_rest_stable,training_selection_score,selection_reason
1,128,190,406,279,5,0.9285714285714286,0.809270854148229,1.0146646705839832,True,113.0,0.9114053702552257,14.0,True,0.9285714285714286,all_valid_reps_kept
2,406,564,736,331,6,0.9642857142857143,1.0362279402792203,1.073219832076129,,,,,,0.9642857142857143,all_valid_reps_kept
3,736,876,1019,284,7,1.0,1.000055039906903,1.0370469317038118,,,,,,1.0,all_valid_reps_kept
4,1019,1169,1265,247,6,0.9642857142857143,1.0354007676895767,1.0354007676895767,,,,,,0.9642857142857143,all_valid_reps_kept
5,1265,1400,1517,253,6,0.9642857142857143,1.0685348335924334,1.0685348335924334,,,,,,0.9642857142857143,all_valid_reps_kept
6,1517,1629,1666,150,4,0.8928571428571428,1.0417850980362562,1.0417850980362562,,,,,,0.8928571428571428,all_valid_reps_kept
7,1666,1834,1907,242,4,0.6073637773349541,0.29072821292228423,0.5792614051850897,,,,,,0.6073637773349541,all_valid_reps_kept
8,1907,1969,2109,203,4,0.8928571428571428,0.7507103346491658,1.0392435269119713,,,,,,0.8928571428571428,all_valid_reps_kept
9,2109,2194,2259,151,3,0.8388937515892951,0.9035540297950516,0.9391696481547934,,,,,,0.8388937515892951,all_valid_reps_kept
10,2343,2602,2721,379,4,0.8644642790126027,0.8880721443030593,0.9053571205181993,,,,,,0.8644642790126027,all_valid_reps_kept
11,2721,2788,2842,122,2,0.8000086906332657,0.9113154211338412,0.9286003973489813,,,,,,0.8000086906332657,all_valid_reps_kept
