exercise_label,source_video,source_video_id,subject_id,rep,rep_uid,split_group,shift,start_frame,end_frame,sampled_frames,segmentation_confidence,review_status,augmentation,rotation_degrees
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-5,123,401,"123,163,202,242,282,322,361,401",0.9285714285714286,accepted,original,0.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-5,123,401,"123,163,202,242,282,322,361,401",0.9285714285714286,accepted,rotation,-10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-5,123,401,"123,163,202,242,282,322,361,401",0.9285714285714286,accepted,rotation,10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-4,124,402,"124,164,203,243,283,323,362,402",0.9285714285714286,accepted,original,0.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-4,124,402,"124,164,203,243,283,323,362,402",0.9285714285714286,accepted,rotation,-10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-4,124,402,"124,164,203,243,283,323,362,402",0.9285714285714286,accepted,rotation,10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-3,125,403,"125,165,204,244,284,324,363,403",0.9285714285714286,accepted,original,0.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-3,125,403,"125,165,204,244,284,324,363,403",0.9285714285714286,accepted,rotation,-10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-3,125,403,"125,165,204,244,284,324,363,403",0.9285714285714286,accepted,rotation,10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-2,126,404,"126,166,205,245,285,325,364,404",0.9285714285714286,accepted,original,0.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-2,126,404,"126,166,205,245,285,325,364,404",0.9285714285714286,accepted,rotation,-10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-2,126,404,"126,166,205,245,285,325,364,404",0.9285714285714286,accepted,rotation,10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-1,127,405,"127,167,206,246,286,326,365,405",0.9285714285714286,accepted,original,0.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-1,127,405,"127,167,206,246,286,326,365,405",0.9285714285714286,accepted,rotation,-10.0
1,C:\Users\Utente\Desktop\AriuFitness-copia-A\uploads\videos\ex_la_putten_r_kitemuort\PM_004-Camera18-30fps-transposed.mp4,PM_004-Camera18-30fps-transposed,PM_004,1,PM_004-Camera18-30fps-transposed__rep_001,PM_004-Camera18-30fps-transposed__rep_001,-1,127,405,"127,167,206,246,286,326,365,405",0.9285714285714286,accepted,rotation,10.0
